Timestamp,Divisions,Team Number (OF THE TEAM YOU'RE TAKING THE PICTURE OF),Photo (clear view; no people blocking please; MAKE SURE THE ROBOT MATCHES WITH THE NUMBER YOU PUT ABOVE)
4/4/2024 9:49:10,Mercury,8576,https://drive.google.com/open?id=1St0lp79YjXpLoBWmaUsktRaegYUKCIEY
4/4/2024 9:49:39,Mercury,9128,https://drive.google.com/open?id=1rWFWyCQlEToThCIoHOooZN7iKz56gUEr
4/4/2024 9:51:22,Mercury,8573,https://drive.google.com/open?id=1YKtooLooqUn9XmHL4nSK_uLkQT9mRj0F
4/4/2024 10:06:37,Mercury,3035,"https://drive.google.com/open?id=14QrK-yW1xiQmNjbot-PwtU5PkZF4YB7c, https://drive.google.com/open?id=1nlLA7dFUNeVcfES9nxaHVub5eS5ke4Vs, https://drive.google.com/open?id=1-T1sayNDONHJoEuJfRw2PrURK62S0FZw, https://drive.google.com/open?id=1w77akYViFJWXW5y2wXp5fSSVciWCAoBl, https://drive.google.com/open?id=1bkC-yN5xwjzgwG_p6ZDUZwe58X1BkEZ_"
4/4/2024 10:06:49,Mercury,9105,https://drive.google.com/open?id=1anByizsXAH7dBc8Jot6PoeoA9IXpwpEW
4/4/2024 10:14:46,Mercury,8598,https://drive.google.com/open?id=1Q4fJys70_1olWSEP0nD6GLexWXi4qOG8
4/4/2024 10:15:09,Apollo,5427,https://drive.google.com/open?id=1hG5y9ZJkpM7Sm34AY_2RqleayUuavdu8
4/4/2024 10:15:23,Mercury,9478,https://drive.google.com/open?id=1BwntHQgLrb-HMRx_LhRHrP9xShbVRneb
4/4/2024 10:17:09,Mercury,8370,https://drive.google.com/open?id=1e4uFRPJfwIP9adEevWs9OwDLOAnttKxq
4/4/2024 10:17:45,Mercury,8507,https://drive.google.com/open?id=1HB_-obHff2Z_JlXB4AvOfvqSV-mwdOEY
4/4/2024 10:19:55,Mercury,5411,"https://drive.google.com/open?id=1bPRMbV7Ce1qX0G6jF73fEohVbMFQl7cL, https://drive.google.com/open?id=1ezPQaK4mRsGknqlDqGGTBsG9cnlJ4QBJ, https://drive.google.com/open?id=1kbA6dJ0DYyj3DbgiZcd04G805YaXdoHF"
4/4/2024 10:20:52,Mercury,2881,"https://drive.google.com/open?id=1cqroJJju94jXGcm2o8IEmQcqlKmRgDYC, https://drive.google.com/open?id=1W0Xv2sYpx6OLPGmdP0YaBI9WDth4DY8P"
4/4/2024 10:21:42,Apollo,7121,https://drive.google.com/open?id=1zbc7_n9pI_dxU_2E9YgOmZJZo-Isv_Yk
4/4/2024 10:22:12,Apollo,5414,https://drive.google.com/open?id=13zRvLS_MvI0k8YiOgBK-FjmD1Gecfcei
4/4/2024 10:22:30,Apollo,7121,https://drive.google.com/open?id=1mMG62PG0LpVCmIw7i1brTCRujddFJDve
4/4/2024 10:23:58,Mercury,2158,https://drive.google.com/open?id=1SmgCsrUbKZZ8Kww9jm0lStjkBvLdSoK-
4/4/2024 10:24:52,Mercury,9752,https://drive.google.com/open?id=1ux2kr5ClraiWrs8yCuMuee8FVT-RPOP3
4/4/2024 10:25:41,Mercury,2582,https://drive.google.com/open?id=1ieGd37RR_YmTcbOomkn9mURz_BZ4QM11
4/4/2024 10:26:28,Mercury,3005,https://drive.google.com/open?id=1H06N9tKzghUi0xi8FG9_elb51Qd4m5Hx
4/4/2024 10:27:10,Mercury,9136,"https://drive.google.com/open?id=13KUW7H68KX2chzdGKic6FSv7oQl8fpM-, https://drive.google.com/open?id=1LuSiUjXvgJyq6spgJxQ0inBpeXJhQnRT"
4/4/2024 10:29:04,Mercury,4639,https://drive.google.com/open?id=1hBVITy3ac13kWmTchTOkIUfHqyMaWESI
4/4/2024 10:30:19,Mercury,4641,"https://drive.google.com/open?id=1RiEvb8ICN6J-WTztIjQ-kQwGC-t00HSu, https://drive.google.com/open?id=1BP-WPsVXZnqQgSzsLladrbCSMKtD6nAx, https://drive.google.com/open?id=1DYuDdShULyKRi2wK8WzsbaI2JQcb5GgI, https://drive.google.com/open?id=12v1N_EP2jUO7w1WGFN9vQywqv-DneL3e, https://drive.google.com/open?id=1swNZKjb8C081u6wXvjSczjGA4H7n3gCs"
4/4/2024 10:31:01,Mercury,5103,"https://drive.google.com/open?id=1oevHEEvzMX5z_e-SImBN28JMgTHHMcDr, https://drive.google.com/open?id=1S8hQoM_OqmJolP8aH4BTtwqOB9Ims4bH"
4/4/2024 10:34:29,Apollo,9054,https://drive.google.com/open?id=1eQF4B4nZyE3YNvMPWKn2ldwJvcfPa397
4/4/2024 10:34:39,Mercury,5411,"https://drive.google.com/open?id=1RmG6CtfFDJxm_NpcRL_eMX-fPW_eiKMk, https://drive.google.com/open?id=1dHhKfYyWNrErzoIPZof80yNNWHVHc0hV, https://drive.google.com/open?id=1i9NNve3kZuL2336HK4k2nLN_cjJEakbW"
4/4/2024 10:35:28,Mercury,5503,"https://drive.google.com/open?id=1bqg6wjwIR-oWRsyr6_Hjayi9wIi2aHFz, https://drive.google.com/open?id=17chwSVjMtuZTsJUUQAxouMArSWooPtJL"
4/4/2024 10:36:31,Mercury,5829,"https://drive.google.com/open?id=1xqXd_UYaSoHGysGiQzx49_yCxQAzLYIx, https://drive.google.com/open?id=1w0SKViO82oQD3gRfAGo6AVAobmv-XfSM, https://drive.google.com/open?id=1cNNmilxBDJ5OqDZmf7appMLv7yK647R6"
4/4/2024 10:37:21,Mercury,9492,https://drive.google.com/open?id=1QyPAOFbTNjMHP97bdnorLcEzl5aCc1lg
4/4/2024 10:38:41,Apollo,7121,https://drive.google.com/open?id=1b_SigNv7c0-bFsziVlV69aV6l5efbfzE
4/4/2024 10:40:02,Apollo,7691,https://drive.google.com/open?id=1nvT-uInGhQmC9UKP9U31QuRU-uVBEYSt
4/4/2024 10:40:17,Mercury,9407,"https://drive.google.com/open?id=1sqMkoOyqkT0XJC9SVxond9ZRgbneOZjB, https://drive.google.com/open?id=14B9QELghM2aIsAr1oX4Fm5AQCMifbkGW, https://drive.google.com/open?id=1DNQxdbGM2V2FPKfZbeZoa5EAtSoi-LyP"
4/4/2024 10:40:50,Apollo,8177,"https://drive.google.com/open?id=1t8SCh3qyK5iQuwSiPU5eRUPZ7HaUA0SL, https://drive.google.com/open?id=11j1abGo3QPSjNcDOtNA-_Ta2Am1pYOAY"
4/4/2024 10:44:19,Apollo,3847,https://drive.google.com/open?id=1TREDnXiBHj8LCSQsksuM_mhivGwQs06x
